Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Aazami	Shervin		C	CA30	2021	2/22/2021	10039551
	Abdelhamid	Rana		C	NY12	2021	5/14/2021	10039753
	Achenbach	Jack Joseph		A	FL10	2021	7/8/2021	10041290
	Achenbach	Jack Joseph		C	FL10	2021	7/7/2021	10041275
	Acheson	Phelan Douglas		W		2021		8218052
	Ackerman	Michael Stephan		C	NC05	2021	5/14/2021	10040418
	Adams	Matt		C	TN03	2021	7/23/2021	10041716
Dr.	Addison	Michael Antonio		C	SC06	2021	7/15/2021	10041506
	Adkins	Amanda		C	KS03	2021	5/14/2021	10040322
	Alcorn	Peter David		C	AL01	2021	10/18/2021	10043907
Dr.	Alexander	Sam		C	MO07	2021	9/22/2021	8218362
	Alexander	Timothy C.		C	NJ02	2021	5/15/2021	10040435
Hon.	Allen	Richard W.		P	GA12	2021	1/13/2021	20018021
Hon.	Allen	Richard W.		P	GA12	2021	3/14/2021	20018393
Hon.	Allen	Richard W.		P	GA12	2021	4/6/2021	20018530
Hon.	Allen	Richard W.		P	GA12	2021	5/9/2021	20018703
Hon.	Allen	Richard W.		P	GA12	2021	6/12/2021	20018906
Hon.	Allen	Richard W.		P	GA12	2021	10/20/2021	20019561
	Altman	Larry Thomas	III	C	VA02	2021	6/23/2021	10041015
Hon.	Amash	Justin		T	MI03	2021	2/2/2021	10039489
	Amato	Bruno		A	CA23	2021	4/28/2021	10040026
	Amato	Bruno		C	CA23	2021	4/28/2021	10040017
	Anders	Bob		C	MO02	2021	4/15/2021	10039735
	Anderson	David Lee	Jr.	C	TX35	2021	8/23/2021	10043576
	Anderson	Terell Terell		A	AL02	2021	5/17/2021	10040507
	Anderson	Terell Terell		C	AL02	2021	5/14/2021	10039654
	Arballo	Phil		C	CA22	2021	5/15/2021	10040115
	Ardoin	Chelsea		C	LA02	2021	4/28/2021	8217995
	Armendariz-Jackson	Irene		C	TX16	2021	5/14/2021	10040420
Mrs.	Arthur	Barbara		C	SC07	2021	7/2/2021	10041188
	Atencio	Rudy A.		C	TX08	2021	4/14/2021	10039732
	Ausbrooks	Jimmy Clifton		C	KY01	2021	9/13/2021	10043735
	Austin	Gerald Darryll		X	NC06	2021	9/13/2021	30015061
Hon.	Axne	Cindy		P	IA03	2021	10/8/2021	20019530
	Ayala	Aramis		C	FL10	2021	9/22/2021	10041042
	Ayala	Aramis		X	FL10	2021	6/29/2021	30014968
	Baddar	Youseff Milad		C	OH05	2021	5/5/2021	10040214
	Bailey	Kathleen Cordelia		C	TX05	2021	6/2/2021	10040686
	Bailey	Richard		X	CA52	2021	9/13/2021	30015074
	Bailey	William		D	SC07	2021	4/26/2021	8217993
	Balderramos Robinson	Corinna		D	FL18	2021	9/28/2021	40003255
	Ballard	Jack		X	MT00	2021	8/23/2021	30015036
Hon.	Banks	James E Hon		P	IN03	2021	1/13/2021	20018018
Hon.	Banks	James E Hon		P	IN03	2021	5/18/2021	20018763
Hon.	Banks	James E Hon		P	IN03	2021	6/11/2021	20018903
Hon.	Banks	James E Hon		P	IN03	2021	7/10/2021	20019063
Hon.	Banks	James E Hon		P	IN03	2021	7/16/2021	20019099
Hon.	Banks	James E Hon		P	IN03	2021	9/14/2021	20019484
Hon.	Banks	James E Hon		P	IN03	2021	10/17/2021	20019642
	Banyai	Cindy Lyn		C	FL19	2021	10/28/2021	10043957
Hon.	Barnes	John E.	Jr.	C	OH11	2021	5/14/2021	10040419
	Barr	Timothy		C	GA10	2021	9/11/2021	10040655
	Barr	Timothy		X	GA10	2021	6/8/2021	30014932
	Barrios Moreno	Darien D.		C	KY03	2021	10/8/2021	10043854
	Batchelor	James Eric		C	NC11	2021	8/7/2021	10042624
	Bates	Betsy		D	TX08	2021	6/28/2021	40003219
	Baxter	Tim		C	NH01	2021	8/12/2021	10043065
	Beach-Ferrara	Jasmine		C	NC11	2021	8/12/2021	10040258
	Beach-Ferrara	Jasmine		X	NC11	2021	5/11/2021	30014901
	Bean	Lydia		C	TX06	2021	3/31/2021	10039697
	Beatty	John		C	VA10	2021	5/13/2021	10040382
	Becker	April		A	NV03	2021	8/25/2021	10043605
	Becker	April		C	NV03	2021	8/13/2021	10040037
	Becker	April		X	NV03	2021	5/5/2021	30014883
	Becker	Nina		C	AZ07	2021	10/7/2021	8218394
	Beckley	Michelle		X	TX24	2021	8/23/2021	30015057
	Bell	Douglas A.		D	AL03	2021	5/14/2021	40003187
	Bellingham	Christopher		D	CA25	2021	5/11/2021	8218023
	Benfield	Erika		X	FL07	2021	8/23/2021	30015040
Mr.	Benjamin	Leon	Sr.	C	VA04	2021	5/15/2021	10040405
	Benson	Erik		C	IN06	2021	7/30/2021	10042057
Mr.	Berg	Matthew Richard		C	TX22	2021	3/12/2021	10039617
	Bernard	Claston		C	LA02	2021	3/10/2021	10039601
	Betts	Greg		C	OH15	2021	7/4/2021	10041096
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	1/1/2021	20017909
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	1/31/2021	20018096
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	2/27/2021	20018292
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	4/1/2021	20018431
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	5/1/2021	20018597
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	6/7/2021	20018752
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	7/4/2021	20019022
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	8/7/2021	20019110
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	9/2/2021	20019339
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	10/1/2021	20019506
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	10/30/2021	20019648
Hon.	Bice	Stephanie		P	OK05	2021	8/12/2021	20019292
	Billand	Michael Alan		C	TX02	2021	6/24/2021	8218127
	Bish	Christine		C	CA06	2021	5/14/2021	10040451
	Bishop	Laurie		C	MT00	2021	8/28/2021	10043553
Hon.	Bishop	Rob		T	UT01	2021	2/4/2021	8217836
	Blalock	Kevin Andrew		C	AL05	2021	10/27/2021	10043852
	Blalock	Kevin Andrew		D	AL05	2021	10/6/2021	40003259
	Blasi	Michael		C	NJ04	2021	9/17/2021	10043612
	Blasi	Michael		X	NJ04	2021	8/30/2021	30015058
Hon.	Blumenauer	Earl		P	OR03	2021	1/6/2021	20017979
Hon.	Blumenauer	Earl		P	OR03	2021	2/3/2021	20018142
Hon.	Blumenauer	Earl		P	OR03	2021	3/3/2021	20018321
